ehstaˀ	‘she uses; people use’	[e-hst-haˀ]	she/someone.a-use-habitual
ganǫhsa̲ˀsǫ́:ˀah	'houses'	[ga-nǫhs-a̲ˀ-sǫ:ˀah]	it.a-house-noun.stem.former-pluralizer
dewage̲hęna̲ˀtraˀehsdǫ́hǫgyeˀ	'I am going along stabbing things'	[de-wage-hęnaˀtra-ˀe-hsd-ǫh-ǫgyeˀ]	dualic-I.a-knife-hit-cause.to-stative.progressive
hohsę:	‘When he was young, he was fat.’	[tsi-h-ǫgwe̲ˀd-a:sé:]	coincident-he.a-person-new.stative
hǫgwéˀdase:	‘young man’	[h-ǫgwéˀd-ase:]	he.a-person-new.stative
tsiyeksa̲ˀdá:se:	'when she was a teenager…’	[tsi-ye-ksa̲ˀd-á:se:]	coincident-she.a-child-new.stative
eksaˀdasé:ˀah	‘teenage girl’	[e-ksaˀd-asé:-ˀah]	she.a-child-new.stative-diminutive
sadahǫ́:dǫ:	‘(you) ask!’	[s-ad-ahǫ́:dǫ:]	you(one).a-semireflexive-ask-no.aspect
ęsada̲hǫ́:dǫ:ˀ	‘you will ask’	[ę-s-ad-a̲hǫ́:dǫ:-ˀ]	future-you(one).a-semireflexive-ask-punctual
aˀéganyaˀk	‘she paid’	[aˀ-e-ganyaˀg-ø]	factual-she.a-pay-ø.punctual
gagánya̲ˀgǫh	‘payment’	[ga-ga-nya̲ˀg-ǫh]	it.a-price-pay-stative
hękrih	‘I will pour’	[h-ę-k-hrih-ø]	translocative-future-I.a-pour-ø-punctual
gahíhǫh	‘it is spilled’	[ga-hríh-ǫh]	it.a-spill-stative
akní:nǫˀ	‘I did buy it’	[a-k-hní:nǫ-ˀ]	factual-I.a-buy-punctual
hadó:wa:s	'he is a hunter'	[h-adó:wa:t-s]	he.a-hunt-habitual
ęha:dó:wa:t	'he will hunt'	[ę-h-a:dó:wa:t-ø]	future-he.a-hunt-ø.punctual
gi̲hsa:s	'I am looking for it'	[g-i̲hsa:k-s]	I.a-look.for-habitual
ęgíhsa:k	'I will look for it'	[ę-g-íhsa:k-ø]	future-I.a-look-ø.punctual
gadinǫ̲hweˀs	‘they (animals) like it’	[gadi-nǫ̲hwe-ˀs]	they.animals-like-habitual
hęgiˀdrǫ́:daˀk	'where I will live'	[h-ę-g-iˀdrǫ́:-d-aˀk]	translocative-future-I.a-live-causative-modalizer
ehé:yǫhs	'she is dying, on her death bed'	[e-ihey-ǫhs]	she.a-die-habitual
gi̲hé:yǫhs	'I am dying'	[g-ihey-ǫhs]	I.a-die-habitual
egeˀahsrǫni:ˀ	‘she is a hairdresser’	[e-geˀa-hsrǫ́:ni-h]	she.a-hair-fix-habitual
gi̲hé:yǫhs	'I am dying'	[g-ihé:y-ǫhs]	I.a-die-habitual
hanǫhsǫ:nih	‘he is a carpenter’	[ha-nǫhs-ǫ́:ni-h]	he.a-house-build-habitual
dǫdáęˀ	'she is coming back'	[dǫdá-e-e-ˀ]	dualic.factual.cislocative-she.a-go-punctual
dǫdá:geˀ	'I am coming back'	[dǫdá:-g-e-ˀ]	dualic.factual.cislocative-I.a-go-punctual
ętgáęˀ	'they (f / m) will come'	[ę-t-gáe-e-ˀ]	future-cislocative-they(females)-go-punctual
ęteˀ	'he will come this way'	[ę-t-h-e-ˀ]	future-cislocative-he.a-go-punctual
í:yę:	'she wants'	[í:-ye-e-:]	prothetic-she.a-want-stative
ihse:	'you want'	[i-hs-e-:]	prothetic-you(one).a-want-stative
gǫ́:yǫˀ	‘I will give you’	[gǫ́:-y-ǫ-ˀ]	I:you-Y-give-punctual
ęhswá:yǫˀ	‘you will give it’	[ę-hswá:-y-ǫ-ˀ]	future-you(all).a-Y-give-punctual
hęnéhehk	'they (males) were thinking'	[hęn-é-he-hk]	they(males).a-think-habitual-former
