Cayuga	Surface Segmentation	Underlying Forms	Labeled Segmentation	gloss	cayuga	Surface Segmentation	Labeled Segmentation	Gloss
ehstaˀ	e-hst-haˀ		she/someone.a-use-habitual	‘she uses; people use’	ehstaˀ	e-hst-haˀ		
ganǫhsa̲ˀsǫ:ˀah	ga-nǫhs-a̲ˀ-sǫ:ˀah		it.a-house-noun.stem.former-pluralizer	'houses'	ganǫhsa̲ˀsǫ́:ˀah	ga-nǫhs-a̲ˀ-sǫ:ˀah		
dewage̲hęna̲ˀtraˀehsdǫhǫgyeˀ	de-wage-hęnaˀtra-ˀe-hsd-ǫh-ǫgyeˀ		dualic-I.a-knife-hit-cause.to-stative.progressive	'I am going along stabbing things'	dewage̲hęna̲ˀtraˀehsdǫ́hǫgyeˀ	de-wage-hęnaˀtra-ˀe-hsd-ǫh-ǫgyeˀ		
hohsę:	tsi-h-ǫgwe̲ˀd-a:se:		coincident-he.a-person-new.stative	‘When he was young, he was fat.’	hohsę:	tsi-h-ǫgwe̲ˀd-a:sé:		
hǫgweˀdase:	h-ǫgweˀd-ase:		he.a-person-new.stative	‘young man’	hǫgwéˀdase:	h-ǫgwéˀd-ase:		
tsiyeksa̲ˀda:se:	tsi-ye-ksa̲ˀd-a:se:		coincident-she.a-child-new.stative	'when she was a teenager…’	tsiyeksa̲ˀdá:se:	tsi-ye-ksa̲ˀd-á:se:		
eksaˀdase:ˀah	e-ksaˀd-ase:-ˀah		she.a-child-new.stative-diminutive	‘teenage girl’	eksaˀdasé:ˀah	e-ksaˀd-asé:-ˀah		
sadahǫ:dǫ:	s-ad-ahǫ:dǫ:		you(one).a-semireflexive-ask-no.aspect	‘(you) ask!’	sadahǫ́:dǫ:	s-ad-ahǫ́:dǫ:		
ęsada̲hǫ:dǫ:ˀ	ę-s-ad-a̲hǫ:dǫ:-ˀ		future-you(one).a-semireflexive-ask-punctual	‘you will ask’	ęsada̲hǫ́:dǫ:ˀ	ę-s-ad-a̲hǫ́:dǫ:-ˀ		
aˀeganyaˀk	aˀ-e-ganyaˀg-.		factual-she.a-pay-ø.punctual	‘she paid’	aˀéganyaˀk	aˀ-e-ganyaˀg-ø		
gaganya̲ˀgǫh	ga-ga-nya̲ˀg-ǫh		it.a-price-pay-stative	‘payment’	gagánya̲ˀgǫh	ga-ga-nya̲ˀg-ǫh		
hękrih	h-ę-k-hrih-.		translocative-future-I.a-pour-ø-punctual	‘I will pour’	hękrih	h-ę-k-hrih-ø		
gahihǫh	ga-hrih-ǫh		it.a-spill-stative	‘it is spilled’	gahíhǫh	ga-hríh-ǫh		
